Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
1630,0.984438,46.521488,48.311859,30
1640,0.984243,46.415561,48.799341,29
1650,0.986092,46.273196,47.622150,23
1660,0.984748,46.169442,47.861790,28
1670,0.984558,46.043927,46.203622,25
1680,0.984585,45.897653,47.492121,20
1690,0.984857,45.740738,49.938606,22
1700,0.985435,45.589939,49.575760,24
1710,0.985896,45.488663,46.500767,31
1720,0.985565,45.420984,45.803750,37
1730,0.985026,45.367222,46.261687,36
1740,0.985101,45.327857,48.558241,38
1750,0.985476,45.286215,46.262129,38
1760,0.985406,45.226415,46.201249,32
1770,0.985435,45.167745,49.207147,40
1780,0.986165,45.136552,43.126363,37
1790,0.985905,45.085980,46.125611,35
1800,0.986420,45.010408,43.481917,24
1810,0.986013,44.892055,45.845947,22
1820,0.985848,44.768063,45.758354,20
1830,0.985971,44.616078,45.434150,19
1840,0.987101,44.469698,43.245855,14
1850,0.985943,44.307794,46.636225,15
1860,0.986954,44.133090,44.037079,9
1870,0.986450,43.946947,47.508525,12
1880,0.986238,43.783136,44.702393,17
1890,0.986252,43.645342,45.129822,11
1900,0.986540,43.482053,42.875931,15
1910,0.986410,43.334406,41.291311,13
1920,0.987177,43.158568,43.073096,8
1930,0.986593,42.979841,45.007571,9
1940,0.987491,42.780047,47.937584,6
1950,0.985411,42.578566,43.949939,0
1960,0.983635,42.366265,44.624262,2
1970,0.983125,42.158295,45.565543,4
1980,0.982780,41.971928,41.774586,2
1990,0.981783,41.769958,42.901306,1
2000,0.980904,41.567453,41.729857,2
2010,0.979460,41.367230,42.053132,0
2020,0.978342,41.168203,42.661933,2
2030,0.976692,40.970598,43.929582,4
2040,0.976551,40.781247,41.867648,1
2050,0.974075,40.585390,41.582536,0
2060,0.973287,40.395012,41.649663,1
2070,0.971064,40.201057,42.575974,1
2080,0.968506,40.011883,39.884646,0
2090,0.966674,39.824699,40.094385,0
2100,0.966318,39.640599,42.712095,2
2110,0.965327,39.459579,41.624947,3
2120,0.962179,39.276148,40.747143,0
2130,0.962933,39.108845,41.619400,2
2140,0.962539,38.936548,44.428965,4
2150,0.962012,38.769993,39.252392,4
2160,0.962217,38.622547,39.988592,9
2170,0.962930,38.482606,38.774368,8
2180,0.962898,38.348069,38.498402,7
2190,0.962615,38.189486,40.163361,2
2200,0.962070,38.026632,40.439929,4
2210,0.961852,37.863893,39.983453,1
2220,0.962002,37.708270,40.018231,5
2230,0.960273,37.549046,39.867507,1
2240,0.959502,37.392836,37.758614,2
2250,0.959295,37.236191,39.336974,5
2260,0.959719,37.106645,39.030086,10
2270,0.960029,36.995305,40.127402,13
2280,0.959825,36.873540,36.247093,4
2290,0.961003,36.723768,37.015739,1
2300,0.958328,36.568859,37.902892,0
2310,0.957770,36.413145,38.564516,4
2320,0.958027,36.281008,38.197016,3
2330,0.957592,36.147979,35.962695,6
2340,0.958282,36.018715,33.644376,4
2350,0.957734,35.893857,36.438266,5
2360,0.958460,35.769031,36.725253,8
2370,0.959914,35.662232,37.842835,8
2380,0.957752,35.560351,32.239103,9
2390,0.958262,35.450239,36.200464,8
2400,0.958198,35.343354,38.014095,10
2410,0.958630,35.225651,36.357528,7
2420,0.958580,35.107357,36.038985,5
2430,0.955950,34.965778,36.468086,0
2440,0.954377,34.826732,36.863075,1
2450,0.954087,34.687207,37.551680,1
2460,0.951703,34.549893,36.274118,0
2470,0.951082,34.416463,36.424514,1
2480,0.951355,34.286070,36.687238,6
2490,0.950949,34.173498,36.405796,8
2500,0.951902,34.060536,36.841570,6
2510,0.951536,33.943550,37.066209,5
2520,0.952078,33.825953,35.826402,5
2530,0.951915,33.719777,33.327357,4
2540,0.952254,33.610051,33.461613,5
2550,0.952089,33.502460,35.080338,7
2560,0.952304,33.399400,34.051657,9
2570,0.952448,33.306813,33.666122,8
2580,0.953053,33.210467,34.470747,10
2590,0.952853,33.126942,35.893777,14
2600,0.953291,33.050992,35.499712,14
2610,0.953257,32.988196,34.432813,15
2620,0.953640,32.915055,38.352104,19
2630,0.954039,32.869093,34.835897,24
2640,0.953806,32.839133,34.364840,29
2650,0.953925,32.803082,34.022323,22
2660,0.954206,32.753535,34.334749,20
2670,0.954885,32.691840,34.690290,18
2680,0.954781,32.651385,34.294694,22
2690,0.955029,32.606321,35.272382,22
2700,0.954930,32.568454,35.251175,23
2710,0.955253,32.531471,34.728154,19
2720,0.955326,32.476319,37.393993,19
2730,0.956316,32.425454,33.509402,18
2740,0.955719,32.376340,33.194194,19
2750,0.956086,32.323165,33.208596,14
2760,0.956082,32.256938,33.781876,11
2770,0.955959,32.182045,33.427682,15
2780,0.956788,32.128840,34.115686,17
2790,0.956222,32.070078,33.006653,15
2800,0.956445,31.996114,32.680304,6
2810,0.956859,31.894928,34.015350,5
2820,0.957176,31.803327,33.637928,6
2830,0.956558,31.704216,33.355827,3
2840,0.956821,31.598682,33.376350,1
2850,0.954762,31.492449,32.555632,0
2860,0.953722,31.386240,33.047586,3
2870,0.953199,31.284488,33.628418,7
2880,0.952792,31.192268,33.045892,2
2890,0.951157,31.086586,35.837580,1
2900,0.950426,30.990188,32.814270,6
2910,0.950729,30.906161,31.578980,8
2920,0.951104,30.836791,32.433134,13
2930,0.950999,30.769051,34.817737,11
2940,0.950881,30.693609,31.241114,0
