timestamp,sampleIndex,EN,EW,queue0,queue1,queue2,lambda,occupancy,littleError
10.18,0,11.870933,3.899180,11,2,7,3.044469,0.000000,0.000000e+00
20.12,1,19.352040,6.714752,16,6,18,2.882019,0.000000,0.000000e+00
30.08,2,28.591460,9.771990,21,19,25,2.925859,0.000000,0.000000e+00
40.12,3,42.723904,13.183845,27,39,35,3.240625,0.000000,0.000000e+00
50.96,4,55.140573,18.609798,26,46,40,2.962986,0.000000,0.000000e+00
60.09,5,65.253495,21.905528,26,58,49,2.978860,0.000000,0.000000e+00
70.14,6,76.030441,24.804833,30,72,57,3.065146,0.000000,0.000000e+00
80.26,7,87.371642,27.827435,28,87,75,3.139766,0.000000,0.000000e+00
90.34,8,100.388960,31.819944,29,102,83,3.154907,0.000000,0.000000e+00
100.02,9,114.439044,36.106094,28,111,96,3.169522,0.000000,0.000000e+00
110.22,10,126.332003,39.444886,26,123,112,3.202747,0.000000,0.000000e+00
120.02,11,137.255028,42.346218,36,135,119,3.241258,0.000000,0.000000e+00
130.23,12,149.166881,45.602596,41,148,125,3.271017,0.000000,0.000000e+00
140.33,13,163.780289,50.181734,41,164,132,3.263743,0.000000,0.000000e+00
150.20,14,173.964803,54.209413,39,173,137,3.209125,0.000000,0.000000e+00
160.06,15,186.373694,58.377165,37,187,142,3.192579,0.000000,0.000000e+00
170.20,16,197.661129,61.502560,37,198,155,3.213868,0.000000,0.000000e+00
180.14,17,207.081439,64.650927,37,210,160,3.203070,0.000000,0.000000e+00
190.14,18,219.602153,68.228702,45,221,171,3.218618,0.000000,-2.842171e-14
200.68,19,231.859965,71.584142,42,242,180,3.238985,0.000000,0.000000e+00
210.09,20,243.029769,75.416882,37,248,193,3.222485,0.000000,0.000000e+00
220.02,21,254.422990,78.290251,33,265,202,3.249740,0.000000,0.000000e+00
230.03,22,263.640589,81.186484,33,279,212,3.247346,0.000000,0.000000e+00
240.09,23,276.738499,83.679622,40,303,220,3.307119,0.000000,0.000000e+00
250.23,24,286.866587,87.219468,37,315,231,3.289020,0.000000,0.000000e+00
260.70,25,299.470650,92.174229,33,326,239,3.248963,0.000000,0.000000e+00
270.24,26,311.204955,95.676677,34,339,249,3.252673,0.000000,0.000000e+00
280.09,27,322.781651,98.806494,43,350,256,3.266806,0.000000,0.000000e+00
290.09,28,333.280448,102.962771,37,360,264,3.236902,0.000000,0.000000e+00
300.16,29,344.519121,105.953719,38,374,279,3.251600,0.000000,0.000000e+00
310.24,30,354.921996,109.020323,36,387,290,3.255558,0.000000,0.000000e+00
320.39,31,368.365244,112.831069,34,400,302,3.264750,0.000000,0.000000e+00
330.36,32,379.825020,117.488571,29,410,309,3.232868,0.000000,0.000000e+00
340.29,33,390.568957,120.932921,25,420,319,3.229633,0.000000,0.000000e+00
350.00,34,399.968793,122.583671,29,435,334,3.262823,0.000000,0.000000e+00
360.27,35,412.330466,127.620012,24,447,337,3.230923,0.000000,0.000000e+00
370.39,36,424.898522,131.807081,22,457,347,3.223640,0.000000,0.000000e+00
380.09,37,431.747880,135.063705,17,467,351,3.196624,0.000000,5.684342e-14
390.05,38,445.806332,139.442943,24,480,359,3.197052,0.000000,0.000000e+00
400.31,39,454.956101,141.182322,29,496,375,3.222472,0.000000,0.000000e+00
410.65,40,466.402859,145.758327,26,504,385,3.199837,0.000000,5.684342e-14
420.10,41,476.524589,149.728580,30,512,390,3.182589,0.000000,0.000000e+00
430.03,42,488.713937,153.513329,31,523,401,3.183528,0.000000,0.000000e+00
440.15,43,499.740569,156.891701,31,538,407,3.185258,0.000000,0.000000e+00
450.08,44,510.027371,160.303546,20,552,417,3.181635,0.000000,0.000000e+00
460.09,45,517.722919,163.373780,17,559,426,3.168947,0.000000,0.000000e+00
470.24,46,531.350843,168.257169,21,574,429,3.157969,0.000000,0.000000e+00
480.50,47,542.211014,171.969980,22,583,440,3.152940,0.000000,0.000000e+00
490.02,48,551.671900,174.744575,22,595,453,3.157019,0.000000,0.000000e+00
500.16,49,562.634609,178.443943,19,605,466,3.153005,0.000000,0.000000e+00
510.28,50,572.499724,181.226373,18,616,477,3.159031,0.000000,0.000000e+00
520.60,51,583.602151,184.471478,22,629,487,3.163644,0.000000,0.000000e+00
530.10,52,594.134171,188.143403,29,639,492,3.157879,0.000000,0.000000e+00
540.76,53,602.809124,192.088530,20,649,500,3.138184,0.000000,0.000000e+00
550.32,54,613.444923,195.932638,25,659,504,3.130897,0.000000,0.000000e+00
560.84,55,624.563306,199.931800,21,669,516,3.123882,0.000000,0.000000e+00
570.28,56,631.145697,201.981396,27,676,526,3.124771,0.000000,0.000000e+00
580.19,57,645.666919,206.511544,26,690,537,3.126542,0.000000,0.000000e+00
590.00,58,657.271531,210.984967,19,702,543,3.115253,0.000000,0.000000e+00
