timestamp,sampleIndex,EN,EW,queue0,queue1,queue2,lambda,occupancy,littleError
10.09,0,12.212398,3.850467,11,7,5,3.171667,0.000000,0.000000e+00
20.25,1,20.569740,7.308182,21,8,11,2.814618,0.000000,0.000000e+00
30.06,2,28.697174,10.268980,34,5,18,2.794550,0.000000,3.552714e-15
40.29,3,38.324526,12.761711,44,13,25,3.003087,0.000000,0.000000e+00
50.03,4,46.862136,16.868186,52,8,28,2.778137,0.000000,0.000000e+00
60.18,5,54.116698,19.620179,60,8,37,2.758216,0.000000,0.000000e+00
70.23,6,62.913456,22.316424,72,3,48,2.819155,0.000000,0.000000e+00
80.37,7,70.562603,25.205717,63,15,56,2.799468,0.000000,0.000000e+00
90.01,8,78.859943,27.837280,63,27,65,2.832890,0.000000,0.000000e+00
100.11,9,88.813584,31.087295,66,37,74,2.856909,0.000000,0.000000e+00
110.22,10,97.624140,33.313969,68,49,89,2.930427,0.000000,1.421085e-14
120.01,11,108.149329,36.457443,75,58,100,2.966454,0.000000,0.000000e+00
130.20,12,118.206586,39.363170,70,76,107,3.002974,0.000000,1.421085e-14
140.27,13,129.109124,42.914498,71,88,117,3.008520,0.000000,0.000000e+00
150.10,14,138.737116,45.970311,73,100,127,3.017972,0.000000,0.000000e+00
160.16,15,150.091688,49.873730,75,107,140,3.009434,0.000000,0.000000e+00
170.04,16,160.762146,52.874072,85,116,150,3.040472,0.000000,0.000000e+00
180.41,17,170.861891,56.046067,80,128,161,3.048597,0.000000,0.000000e+00
190.14,18,181.395557,58.757456,87,140,172,3.087192,0.000000,0.000000e+00
200.11,19,193.765814,62.944215,82,153,178,3.078374,0.000000,0.000000e+00
210.05,20,203.704368,66.647006,81,160,187,3.056467,0.000000,0.000000e+00
220.05,21,215.961388,69.679411,81,177,200,3.099357,0.000000,-2.842171e-14
230.43,22,226.348161,72.743674,83,190,211,3.111586,0.000000,0.000000e+00
240.71,23,237.136003,75.702812,89,204,220,3.132460,0.000000,2.842171e-14
250.12,24,247.541308,78.572260,88,219,229,3.150492,0.000000,2.842171e-14
260.16,25,259.778978,83.128403,89,229,236,3.125033,0.000000,0.000000e+00
270.01,26,271.543122,87.283732,87,244,241,3.111039,0.000000,0.000000e+00
280.35,27,281.589205,90.843486,89,254,248,3.099718,0.000000,0.000000e+00
291.64,28,293.635558,95.468071,82,262,259,3.075746,0.000000,0.000000e+00
300.06,29,304.067453,99.065858,74,273,266,3.069347,0.000000,0.000000e+00
310.08,30,312.935803,102.789829,69,282,271,3.044424,0.000000,0.000000e+00
320.16,31,323.426121,105.769112,67,295,283,3.057850,0.000000,0.000000e+00
330.08,32,327.844863,106.300526,73,309,294,3.084132,0.000000,0.000000e+00
340.40,33,343.520185,112.329657,74,320,299,3.058143,0.000000,0.000000e+00
350.06,34,354.234839,115.675025,67,336,306,3.062328,0.000000,0.000000e+00
360.12,35,362.731774,118.644382,60,343,315,3.057303,0.000000,0.000000e+00
370.94,36,374.758837,123.128123,54,359,325,3.043649,0.000000,0.000000e+00
380.04,37,382.450132,125.622762,52,372,333,3.044433,0.000000,0.000000e+00
390.46,38,392.836210,129.768372,52,384,340,3.027211,0.000000,0.000000e+00
400.14,39,403.557585,133.563683,58,398,343,3.021462,0.000000,-5.684342e-14
410.16,40,413.401137,136.193367,59,409,354,3.035398,0.000000,0.000000e+00
420.16,41,423.396413,140.295482,53,418,363,3.017891,0.000000,0.000000e+00
430.06,42,431.634544,144.457878,49,423,369,2.987961,0.000000,-5.684342e-14
440.05,43,442.580743,147.993440,46,436,376,2.990543,0.000000,5.684342e-14
450.49,44,451.850264,151.678272,44,446,381,2.979005,0.000000,0.000000e+00
460.25,45,459.334859,153.530139,48,459,393,2.991822,0.000000,0.000000e+00
470.01,46,471.464798,156.713101,50,474,404,3.008458,0.000000,0.000000e+00
480.02,47,476.834591,159.284628,58,480,410,2.993601,0.000000,0.000000e+00
490.02,48,488.918852,162.868793,61,495,421,3.001919,0.000000,0.000000e+00
500.98,49,500.623115,166.646487,56,511,434,3.004102,0.000000,0.000000e+00
511.04,50,510.732265,170.480352,56,522,441,2.995842,0.000000,0.000000e+00
520.01,51,520.603566,173.649102,59,528,450,2.998020,0.000000,0.000000e+00
530.17,52,529.796293,176.432160,56,542,461,3.002833,0.000000,0.000000e+00
540.12,53,537.230601,179.116020,53,551,469,2.999344,0.000000,0.000000e+00
550.09,54,545.271467,182.337957,60,561,471,2.990444,0.000000,0.000000e+00
561.26,55,557.059920,187.106725,66,569,478,2.977231,0.000000,0.000000e+00
570.02,56,569.092198,191.496381,65,578,482,2.971817,0.000000,0.000000e+00
580.10,57,577.090547,194.182559,63,585,495,2.971897,0.000000,0.000000e+00
590.34,58,588.717014,198.595212,58,595,504,2.964407,0.000000,0.000000e+00
600.02,59,597.554297,201.882186,56,610,509,2.959916,0.000000,0.000000e+00
610.28,60,608.647903,206.016642,50,626,515,2.954363,0.000000,0.000000e+00
620.13,61,615.619919,208.727037,51,639,518,2.949402,0.000000,0.000000e+00
630.53,62,624.176167,210.235613,59,657,528,2.968936,0.000000,0.000000e+00
640.24,63,636.971447,214.414864,58,671,538,2.970743,0.000000,0.000000e+00
650.09,64,646.928590,217.909135,57,683,545,2.968800,0.000000,0.000000e+00
660.19,65,656.083209,221.441731,50,693,553,2.962780,0.000000,0.000000e+00
670.57,66,666.876526,226.079875,47,703,562,2.949739,0.000000,0.000000e+00
680.05,67,675.867460,229.696789,43,710,572,2.942433,0.000000,0.000000e+00
690.21,68,685.308417,232.663760,42,725,580,2.945488,0.000000,0.000000e+00
700.36,69,694.053702,235.278831,40,737,590,2.949920,0.000000,0.000000e+00
710.03,70,704.906382,238.562430,27,748,602,2.954809,0.000000,0.000000e+00
720.09,71,708.854456,239.867674,30,757,612,2.955190,0.000000,0.000000e+00
730.80,72,722.159850,245.010501,23,769,619,2.947465,0.000000,0.000000e+00
740.29,73,731.076087,248.259187,19,781,628,2.944810,0.000000,0.000000e+00
750.82,74,739.387525,250.518647,24,795,639,2.951427,0.000000,0.000000e+00
760.01,75,752.409825,253.700658,20,809,656,2.965739,0.000000,0.000000e+00
770.18,76,760.577218,255.576256,23,820,672,2.975931,0.000000,0.000000e+00
780.29,77,769.513561,258.701390,29,827,679,2.974524,0.000000,0.000000e+00
790.58,78,781.831129,263.358721,32,837,686,2.968693,0.000000,0.000000e+00
800.13,79,789.973751,265.579240,30,847,700,2.974531,0.000000,0.000000e+00
810.27,80,797.702372,267.643150,33,855,715,2.980470,0.000000,0.000000e+00
820.08,81,810.722869,272.930040,28,864,720,2.970442,0.000000,0.000000e+00
830.50,82,819.328314,275.711282,23,876,734,2.971689,0.000000,0.000000e+00
840.05,83,830.822332,279.507945,18,885,745,2.972446,0.000000,0.000000e+00
850.11,84,840.389247,282.491059,21,896,756,2.974923,0.000000,-1.136868e-13
861.54,85,847.358449,285.392660,19,908,767,2.969097,0.000000,0.000000e+00
870.35,86,856.019556,288.104007,27,913,777,2.971217,0.000000,0.000000e+00
880.37,87,869.292925,292.994472,27,924,783,2.966926,0.000000,-1.136868e-13
890.29,88,878.400525,296.671959,22,933,791,2.960848,0.000000,-1.136868e-13
900.14,89,887.724739,298.384642,22,950,802,2.975102,0.000000,0.000000e+00
910.20,90,893.594190,300.683731,20,960,807,2.971874,0.000000,0.000000e+00
920.12,91,907.820517,305.636944,28,974,810,2.970258,0.000000,1.136868e-13
930.89,92,914.622400,307.926353,30,987,818,2.970263,0.000000,1.136868e-13
940.43,93,928.033016,312.700301,30,999,825,2.967803,0.000000,0.000000e+00
950.01,94,936.505739,315.716917,29,1014,830,2.966283,0.000000,0.000000e+00
960.15,95,947.882233,319.560999,34,1025,833,2.966201,0.000000,0.000000e+00
970.07,96,957.570980,323.210939,36,1036,841,2.962681,0.000000,1.136868e-13
980.94,97,967.099156,327.238573,29,1045,849,2.955334,0.000000,1.136868e-13
990.78,98,975.310330,330.028138,33,1056,857,2.955234,0.000000,0.000000e+00
1000.75,99,987.238085,334.113771,31,1063,867,2.954796,0.000000,0.000000e+00
1010.21,100,993.057184,335.968102,29,1076,871,2.955808,0.000000,0.000000e+00
1020.07,101,1003.384306,340.379322,32,1082,875,2.947842,0.000000,1.136868e-13
1030.13,102,1011.844791,344.800674,28,1087,880,2.934579,0.000000,-1.136868e-13
1040.09,103,1026.056799,350.358324,27,1096,890,2.928593,0.000000,0.000000e+00
1050.32,104,1033.106022,352.760918,32,1109,896,2.928629,0.000000,0.000000e+00
1060.28,105,1044.251233,357.045784,37,1115,901,2.924698,0.000000,0.000000e+00
1070.54,106,1053.753909,360.296846,35,1127,910,2.924683,0.000000,0.000000e+00
1080.93,107,1063.470287,364.009028,27,1139,918,2.921549,0.000000,0.000000e+00
1090.55,108,1072.351794,366.025026,24,1153,928,2.929723,0.000000,0.000000e+00
1100.04,109,1079.613512,368.941153,27,1164,932,2.926249,0.000000,0.000000e+00
1110.10,110,1090.552875,372.155535,28,1179,939,2.930369,0.000000,0.000000e+00
1120.19,111,1101.601870,376.220139,28,1192,945,2.928078,0.000000,0.000000e+00
1130.14,112,1108.934928,379.085483,29,1201,952,2.925290,0.000000,0.000000e+00
