timestamp,sampleIndex,EN,EW,queue0,queue1,queue2,lambda,occupancy,littleError
10.35,0,11.806496,3.819702,9,7,11,3.090947,0.000000,0.000000e+00
20.24,1,17.896459,7.547628,2,12,17,2.371137,0.000000,0.000000e+00
30.67,2,23.374124,11.199687,1,20,15,2.087034,0.000000,0.000000e+00
40.44,3,27.703587,13.027531,8,26,14,2.126542,0.000000,0.000000e+00
51.52,4,33.630158,15.067386,12,38,16,2.231984,0.000000,0.000000e+00
60.49,5,39.576938,18.275685,15,45,13,2.165552,0.000000,0.000000e+00
70.30,6,45.279081,20.942712,23,50,15,2.162045,0.000000,0.000000e+00
80.19,7,51.908812,22.621304,34,61,19,2.294687,0.000000,0.000000e+00
90.30,8,57.041161,25.374811,45,65,10,2.247944,0.000000,0.000000e+00
100.10,9,65.395262,27.856731,56,75,12,2.347557,0.000000,0.000000e+00
110.05,10,73.668283,31.421818,65,85,9,2.344495,0.000000,0.000000e+00
120.23,11,81.041161,33.830879,71,98,12,2.395479,0.000000,0.000000e+00
130.02,12,89.264706,36.270391,81,106,18,2.461090,0.000000,1.421085e-14
140.28,13,97.218385,39.994741,87,115,16,2.430779,0.000000,0.000000e+00
150.27,14,107.039359,42.778971,97,129,11,2.502149,0.000000,0.000000e+00
160.34,15,115.565792,46.208925,103,144,9,2.500941,0.000000,0.000000e+00
170.69,16,125.178446,49.921571,111,154,8,2.507502,0.000000,0.000000e+00
180.04,17,130.862054,52.824837,119,159,2,2.477283,0.000000,0.000000e+00
190.53,18,140.978695,57.890893,123,155,6,2.435248,0.000000,0.000000e+00
200.12,19,147.311427,59.676537,132,156,16,2.468498,0.000000,0.000000e+00
210.17,20,156.143884,62.988954,143,149,24,2.478909,0.000000,0.000000e+00
220.21,21,163.392005,65.300818,154,152,29,2.502143,0.000000,0.000000e+00
230.43,22,171.568018,69.115712,161,143,35,2.482330,0.000000,-2.842171e-14
240.17,23,177.982280,71.244588,173,140,43,2.498187,0.000000,0.000000e+00
250.14,24,185.630869,73.469803,187,137,52,2.526628,0.000000,0.000000e+00
260.23,25,193.109223,75.909952,198,132,62,2.543925,0.000000,-2.842171e-14
270.54,26,200.062342,78.899067,204,131,67,2.535674,0.000000,0.000000e+00
280.06,27,208.760492,80.754656,217,129,81,2.585120,0.000000,2.842171e-14
290.99,28,216.575482,84.593587,226,123,85,2.560188,0.000000,0.000000e+00
300.06,29,223.722196,87.067405,235,126,94,2.569529,0.000000,0.000000e+00
310.21,30,231.088054,90.971635,240,121,99,2.540221,0.000000,2.842171e-14
320.37,31,237.149938,93.221482,250,120,107,2.543941,0.000000,0.000000e+00
330.19,32,245.182507,95.467122,258,132,114,2.568240,0.000000,-2.842171e-14
340.31,33,254.157394,98.961248,265,128,124,2.568252,0.000000,0.000000e+00
350.11,34,262.046182,101.712710,274,131,134,2.576337,0.000000,0.000000e+00
360.52,35,267.403094,103.549851,283,126,143,2.582361,0.000000,0.000000e+00
370.77,36,276.960564,106.967413,294,117,154,2.589205,0.000000,0.000000e+00
380.94,37,285.006761,110.561247,298,123,157,2.577818,0.000000,0.000000e+00
390.24,38,291.415048,113.382505,302,120,164,2.570194,0.000000,0.000000e+00
400.09,39,300.727964,116.474645,312,106,176,2.581918,0.000000,0.000000e+00
410.37,40,304.164599,117.644533,322,112,179,2.585455,0.000000,0.000000e+00
420.37,41,314.481331,122.181121,329,114,185,2.573895,0.000000,0.000000e+00
430.06,42,320.438876,124.487641,335,116,195,2.574062,0.000000,0.000000e+00
440.38,43,327.334589,127.793328,343,113,198,2.561437,0.000000,0.000000e+00
450.46,44,337.226525,131.977900,354,107,203,2.555174,0.000000,0.000000e+00
460.04,45,345.023228,133.494632,365,117,214,2.584548,0.000000,0.000000e+00
471.06,46,352.862825,137.370709,370,119,220,2.568690,0.000000,0.000000e+00
