timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,12.7194,0.0000,11,9,5,1,4.0055
20.0000,2,26.8691,0.0000,25,22,13,1,11.8827
30.0000,3,41.1119,0.0000,33,31,14,1,17.3723
40.0000,4,53.2767,0.0000,44,41,18,1,22.6890
50.0000,5,65.0682,0.0000,58,48,18,1,28.2883
60.0000,6,76.3630,0.0000,70,58,11,1,34.4794
70.0000,7,87.0427,0.0000,83,72,8,1,40.5932
80.0000,8,98.8291,0.0000,100,84,17,1,46.8388
90.0000,9,111.0106,0.0000,112,92,10,1,53.4594
100.0000,10,122.6180,0.0000,121,99,13,1,59.7201
110.0000,11,133.5839,0.0000,126,110,16,1,65.4764
120.0000,12,144.3561,0.0000,143,122,12,1,71.1880
130.0000,13,155.7755,0.0000,151,133,20,1,76.9956
140.0000,14,167.3825,0.0000,161,149,22,1,82.6103
150.0000,15,179.0509,0.0000,175,159,23,1,88.2797
160.0000,16,190.7065,0.0000,183,169,24,1,93.9061
170.0000,17,202.1022,0.0000,192,177,23,1,99.4445
180.0000,18,213.6113,0.0000,204,186,27,1,105.0900
190.0000,19,224.7024,0.0000,212,194,24,1,110.5669
200.0000,20,235.0606,0.0000,223,197,22,1,115.8115
210.0000,21,245.3121,0.0000,231,203,23,1,121.1399
220.0000,22,255.3599,0.0000,241,212,25,1,126.3507
230.0000,23,265.4131,0.0000,252,225,17,1,131.5587
240.0000,24,275.1887,0.0000,262,232,15,1,136.7759
250.0000,25,284.9621,0.0000,270,244,17,1,141.9585
260.0000,26,294.8284,0.0000,279,254,21,1,147.0343
270.0000,27,304.8162,0.0000,282,266,23,1,151.9753
280.0000,28,314.7606,0.0000,299,280,14,1,156.9330
290.0000,29,324.7677,0.0000,306,296,19,1,161.9450
300.0000,30,334.8918,0.0000,319,304,13,1,166.9203
310.0000,31,344.8111,0.0000,328,311,12,1,171.9869
320.0000,32,354.7470,0.0000,341,323,9,1,177.0823
330.0000,33,364.5078,0.0000,349,329,10,1,182.1600
340.0000,34,374.1980,0.0000,358,337,7,1,187.2049
350.0000,35,383.8748,0.0000,366,344,12,1,192.1787
360.0000,36,393.7732,0.0000,377,360,12,1,197.1633
370.0000,37,403.7711,0.0000,387,372,15,1,202.1734
380.0000,38,413.7321,0.0000,393,383,10,1,207.1391
390.0000,39,423.4285,0.0000,399,388,8,1,212.0097
