timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,11.6773,0.0000,8,8,10,1,3.2513
20.0000,2,25.4531,0.0000,18,16,13,1,7.2390
30.0000,3,35.8145,0.0000,19,20,21,1,9.1385
40.0000,4,44.3853,0.0000,26,27,28,1,11.2470
50.0000,5,53.0182,0.0000,32,33,31,1,14.3119
60.0000,6,63.2112,0.0000,42,43,42,1,15.8224
70.0000,7,74.2565,0.0000,52,53,48,1,18.2735
80.0000,8,85.2606,0.0000,57,59,58,1,22.4363
90.0000,9,96.2071,0.0000,65,65,61,1,25.8127
100.0000,10,106.4487,0.0000,69,70,71,1,28.9369
110.0000,11,116.2861,0.0000,74,72,73,1,29.9499
120.0000,12,125.5757,0.0000,80,79,80,1,30.9821
130.0000,13,135.0509,0.0000,88,88,84,1,34.2123
140.0000,14,144.6784,0.0000,92,95,91,1,38.0209
150.0000,15,154.3691,0.0000,100,100,97,1,41.8214
160.0000,16,163.7304,0.0000,106,105,108,1,44.7621
170.0000,17,173.2693,0.0000,111,110,111,1,45.5267
180.0000,18,182.7469,0.0000,118,118,117,1,48.5608
190.0000,19,192.1014,0.0000,124,122,122,1,52.2618
200.0000,20,201.4128,0.0000,128,130,130,1,55.1229
210.0000,21,210.7433,0.0000,134,135,135,1,53.3335
220.0000,22,219.9208,0.0000,140,141,140,1,54.8636
230.0000,23,229.0444,0.0000,149,146,148,1,56.4097
240.0000,24,238.0126,0.0000,148,150,149,1,55.0054
250.0000,25,246.5206,0.0000,150,151,150,1,55.1664
260.0000,26,254.7666,0.0000,160,156,158,1,58.8330
270.0000,27,263.1225,0.0000,161,163,164,1,61.1092
280.0000,28,271.5648,0.0000,166,170,174,1,64.1754
290.0000,29,280.1898,0.0000,175,176,176,1,65.7546
300.0000,30,288.6740,0.0000,182,181,181,1,64.6924
310.0000,31,297.1814,0.0000,189,184,189,1,66.5543
320.0000,32,305.6739,0.0000,193,192,195,1,66.6452
330.0000,33,314.3007,0.0000,202,200,205,1,70.5639
340.0000,34,323.2234,0.0000,209,213,213,1,73.8377
350.0000,35,332.2957,0.0000,214,215,214,1,73.7672
360.0000,36,341.1122,0.0000,219,220,218,1,75.7181
370.0000,37,350.0053,0.0000,229,226,229,1,75.7503
380.0000,38,359.1789,0.0000,236,235,235,1,76.5316
390.0000,39,368.3370,0.0000,241,240,241,1,78.6982
400.0000,40,377.4217,0.0000,245,245,248,1,82.8074
410.0000,41,386.4345,0.0000,248,254,255,1,84.8775
420.0000,42,395.5256,0.0000,259,259,260,1,86.2493
430.0000,43,404.6225,0.0000,266,265,264,1,87.6745
440.0000,44,413.7471,0.0000,271,270,272,1,89.1203
450.0000,45,422.9043,0.0000,275,278,277,1,92.5045
460.0000,46,431.9648,0.0000,285,283,283,1,96.5496
470.0000,47,441.1578,0.0000,291,292,296,1,99.9447
480.0000,48,450.6618,0.0000,303,302,307,1,104.0631
490.0000,49,460.3170,0.0000,312,311,312,1,108.1946
500.0000,50,470.0315,0.0000,322,316,321,1,108.9343
510.0000,51,479.7577,0.0000,326,327,324,1,110.2878
520.0000,52,489.3993,0.0000,329,330,326,1,111.0494
530.0000,53,498.9611,0.0000,336,337,331,1,113.8952
540.0000,54,508.5491,0.0000,343,344,340,1,112.7065
550.0000,55,518.1623,0.0000,349,352,352,1,114.0440
560.0000,56,527.8145,0.0000,354,354,355,1,114.9183
570.0000,57,537.3651,0.0000,359,361,360,1,116.4849
580.0000,58,546.8770,0.0000,369,366,365,1,120.0472
590.0000,59,556.3982,0.0000,369,371,371,1,120.5499
600.0000,60,565.8004,0.0000,373,377,378,1,122.8977
610.0000,61,575.1838,0.0000,382,383,382,1,126.6753
620.0000,62,584.6181,0.0000,394,388,392,1,128.8387
630.0000,63,594.1078,0.0000,398,395,400,1,130.4096
640.0000,64,603.5804,0.0000,402,401,402,1,131.9760
650.0000,65,612.9729,0.0000,405,410,407,1,134.5231
660.0000,66,622.2743,0.0000,413,410,409,1,138.0264
670.0000,67,631.4690,0.0000,418,414,416,1,136.4001
680.0000,68,640.7082,0.0000,421,425,425,1,138.3032
690.0000,69,649.8809,0.0000,426,428,425,1,140.3877
700.0000,70,658.9437,0.0000,430,431,429,1,140.6587
710.0000,71,668.0164,0.0000,438,441,436,1,144.7961
720.0000,72,677.1039,0.0000,446,444,445,1,146.7326
730.0000,73,686.2214,0.0000,449,451,451,1,147.9160
740.0000,74,695.3301,0.0000,453,456,456,1,152.0121
750.0000,75,704.3939,0.0000,461,462,462,1,156.0646
760.0000,76,713.4739,0.0000,468,469,469,1,158.8187
770.0000,77,722.5537,0.0000,473,473,474,1,162.2051
780.0000,78,731.6449,0.0000,479,479,480,1,164.2676
790.0000,79,740.6907,0.0000,484,484,487,1,166.9678
800.0000,80,749.7286,0.0000,490,490,490,1,170.9678
810.0000,81,758.6854,0.0000,495,495,496,1,172.9498
820.0000,82,767.6631,0.0000,501,500,503,1,173.6519
830.0000,83,776.7327,0.0000,510,507,512,1,174.4173
840.0000,84,785.7506,0.0000,518,510,515,1,173.8735
