10 1.135931 1.445483
20 2.130621 0.819470
30 5.609350 2.311086
40 5.967290 2.034154
50 5.875744 2.899845
60 6.326948 2.895978
70 5.797975 3.520206
80 6.406810 2.640108
90 7.657294 2.272517
100 8.502918 3.592792
110 9.541917 5.525679
120 11.011974 4.571655
130 11.981146 5.977117
140 12.706749 4.966394
150 12.957394 5.885720
160 13.339213 5.852799
170 13.926504 6.707360
180 14.673316 7.722850
190 15.150203 7.984788
200 15.736962 7.092793
210 16.661167 8.431557
220 17.114651 7.990573
230 17.470130 9.529463
240 17.816211 8.351290
250 18.168475 7.941114
260 18.549529 11.601488
270 19.039714 10.170563
280 19.560434 9.578697
290 20.395547 9.323542
300 21.279002 10.765156
310 21.856398 10.320991
320 22.170116 10.957605
330 22.400433 11.374562
340 22.864514 10.327762
350 23.557270 11.937620
360 24.261422 12.280534
370 25.085412 11.681070
380 25.986326 11.955792
390 26.965435 12.681122
400 27.748159 12.580751
410 28.322011 13.431947
420 28.871051 14.802114
430 29.388723 13.585201
440 30.019540 14.174938
450 30.603736 14.421725
460 31.108327 13.802938
470 31.715369 15.469845
480 32.493407 15.510509
490 33.242332 17.099832
500 34.027533 16.544551
510 34.962967 14.879333
520 35.674387 17.573260
530 36.178052 17.066343
540 36.573274 17.063852
550 36.729656 18.699161
560 36.820943 18.767924
570 36.890600 17.311877
580 37.014383 18.878201
590 37.124767 16.072922
600 37.154381 17.580128
610 37.305375 18.715875
620 37.530746 18.494786
630 37.806750 17.957268
640 38.187132 18.961072
650 38.564473 19.414675
660 38.876806 21.412788
670 39.199271 20.533467
680 39.658182 20.675323
690 40.051469 20.179731
700 40.490649 23.153440
710 40.984044 19.867920
720 41.425750 20.734816
730 41.901073 20.916385
740 42.405839 21.521262
750 42.962413 21.399778
760 43.289538 20.845271
770 43.524234 23.799964
780 43.869694 19.423966
790 44.084181 22.928541
800 44.250247 23.740648
810 44.592277 22.448798
820 45.033848 21.611080
830 45.495303 22.212173
840 45.918051 22.622501
850 46.349670 24.143520
860 46.749658 24.183275
870 47.164615 23.882159
880 47.660086 24.625370
890 48.182159 24.240195
900 48.796036 23.613177
910 49.397811 23.244423
920 49.933076 23.938506
930 50.496027 25.852783
940 51.087985 25.911549
950 51.864754 26.914307
960 52.531077 26.656001
970 53.300564 26.701742
980 54.016600 27.341968
990 54.697959 26.752416
1000 55.301902 27.256377
1010 55.994215 27.372465
1020 56.695885 28.156356
1030 57.400319 29.100795
1040 58.125653 29.145528
1050 58.769649 28.065043
1060 59.372140 30.107441
1070 60.092823 29.931632
1080 60.805841 29.226039
1090 61.534413 29.355181
1100 62.222798 31.282807
1110 62.772841 29.374058
1120 63.296738 29.652577
1130 63.710610 32.399255
1140 64.111811 30.776635
1150 64.480537 30.930110
1160 64.812619 31.678676
1170 65.031300 33.434329
1180 65.304973 31.945643
1190 65.625443 31.976965
1200 65.928783 32.235288
1210 66.235383 32.546853
1220 66.548199 34.160181
1230 66.856826 33.446134
1240 67.268741 31.459354
1250 67.585337 33.367669
1260 67.896942 33.910987
1270 68.240886 31.535976
