Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
1630,0.990278,27.948167,25.710711,52
1640,0.990265,28.077352,29.912228,52
1650,0.990606,28.222640,24.298682,51
1660,0.991428,28.363248,27.026851,53
1670,0.991058,28.503035,24.621358,49
1680,0.991125,28.609198,27.236672,42
1690,0.992570,28.694786,30.105839,45
1700,0.991264,28.797508,29.642879,47
1710,0.991868,28.915340,27.422050,43
1720,0.992424,28.991515,28.159932,38
1730,0.991692,29.059409,23.789643,36
1740,0.991796,29.115360,26.934522,37
1750,0.991228,29.172696,28.250993,41
1760,0.990949,29.225301,27.863289,39
1770,0.991045,29.291084,31.219961,45
1780,0.991158,29.364331,30.074216,42
1790,0.994092,29.444933,28.312655,42
1800,0.991227,29.545056,27.799219,45
1810,0.991229,29.603538,29.575738,42
1820,0.991233,29.656019,29.726246,38
1830,0.991860,29.694962,29.414731,38
1840,0.992403,29.732071,29.339015,34
1850,0.992285,29.729223,30.133623,26
1860,0.991526,29.727218,29.384524,33
1870,0.992197,29.731909,28.770710,20
1880,0.991850,29.669817,30.131819,20
1890,0.992178,29.625655,29.514168,16
1900,0.992578,29.533471,28.998775,13
1910,0.994107,29.462638,28.892425,13
1920,0.991830,29.384466,29.171616,12
1930,0.992988,29.303604,29.467836,14
1940,0.992622,29.230325,28.435367,17
1950,0.994047,29.172810,28.772695,20
1960,0.991958,29.143246,28.150826,26
1970,0.992949,29.119625,28.214582,23
1980,0.992033,29.087823,28.818390,23
1990,0.992456,29.035043,27.632966,18
2000,0.994052,28.991246,28.086693,22
2010,0.992427,28.973804,29.610353,28
2020,0.992914,28.973112,29.385442,32
2030,0.992567,29.001461,27.326651,40
2040,0.992317,29.054033,29.507200,43
2050,0.992515,29.132760,26.562773,44
2060,0.992462,29.203962,28.343965,44
2070,0.992353,29.243940,26.881988,45
2080,0.995339,29.367928,28.444951,50
2090,0.992445,29.485019,27.705577,53
2100,0.993199,29.616433,28.624834,58
2110,0.994185,29.765649,34.449160,65
2120,0.994373,29.930847,29.868687,69
2130,0.992512,30.135305,29.331232,73
