Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
10,0.539337,0.119201,4.005244,2
20,0.602778,3.309612,3.165097,12
30,0.720072,6.345877,4.424309,11
40,0.792725,6.369996,6.502652,10
50,0.834649,7.283357,8.901066,13
60,0.860407,8.246147,10.355146,19
70,0.885619,9.248701,8.917379,18
80,0.897351,9.949516,8.236193,14
90,0.917975,9.897803,10.617220,6
100,0.961594,9.298452,8.497193,2
110,0.923607,8.764172,9.652110,7
120,0.937853,8.406355,8.085230,3
130,0.948906,8.160311,10.803101,6
140,0.940028,7.921479,6.401303,2
150,0.915057,7.455550,7.392078,0
160,0.917798,7.050333,7.773616,2
170,0.908798,6.756287,6.742599,1
180,0.912085,6.605047,6.040289,3
190,0.910500,6.352625,8.766554,3
200,0.899016,6.109319,5.518010,1
210,0.904002,5.925050,5.055888,4
220,0.899353,5.818106,6.242803,1
230,0.886245,5.614702,6.257918,2
240,0.892379,5.503133,4.980511,1
250,0.878211,5.332670,5.306596,0
260,0.868817,5.145811,6.122442,1
270,0.864435,4.993384,4.114379,1
280,0.851051,4.852950,3.218174,2
290,0.857430,4.782982,5.438045,3
300,0.864037,4.701179,4.896499,3
310,0.862431,4.649034,5.063123,3
320,0.856624,4.574827,4.737987,2
330,0.860096,4.545287,1.426833,2
340,0.877584,4.470768,6.649898,4
350,0.864484,4.517340,3.936688,6
360,0.867724,4.558388,4.501208,6
370,0.871552,4.626004,4.058954,6
380,0.874907,4.666259,6.271213,10
390,0.879763,4.699635,5.205311,7
400,0.883860,4.724645,5.231564,3
410,0.885225,4.707055,5.211733,6
420,0.887764,4.817589,4.696801,11
430,0.889496,4.874559,5.876454,6
440,0.891666,4.869935,6.375413,8
450,0.894957,4.881761,6.247529,3
460,0.896878,4.866129,4.917146,2
470,0.892288,4.808418,8.544223,2
480,0.886559,4.720674,5.091634,1
490,0.879206,4.635266,5.117197,2
500,0.868699,4.562077,4.509815,0
510,0.865409,4.501063,4.297867,0
520,0.859180,4.430997,3.949270,0
530,0.853222,4.365149,4.973620,4
540,0.856690,4.353599,3.071111,4
550,0.851320,4.311062,3.946175,0
560,0.851820,4.249173,4.849358,1
570,0.850571,4.202510,4.457183,1
580,0.853903,4.187013,3.576031,4
590,0.860304,4.179250,5.218659,3
600,0.856604,4.192800,1.667270,0
610,0.848000,4.131655,2.984205,0
620,0.844511,4.084568,5.431279,7
630,0.845253,4.187986,3.723042,13
640,0.852206,4.359293,4.702240,13
650,0.852498,4.515579,4.406493,12
660,0.852297,4.639114,4.761017,18
670,0.855458,4.883773,6.062760,15
680,0.859096,5.033497,7.261141,19
690,0.858744,5.187129,5.119360,12
700,0.861073,5.311274,5.677331,13
710,0.864926,5.416674,5.874401,19
720,0.867117,5.602047,5.562534,16
730,0.866232,5.743293,9.280954,18
740,0.868383,5.885350,8.235658,16
750,0.870807,5.988887,6.168314,9
760,0.874591,6.062874,5.507404,14
770,0.874003,6.163714,6.286224,18
780,0.877735,6.270433,7.130702,12
790,0.876998,6.308749,5.208911,7
800,0.880827,6.292587,7.742142,9
810,0.884832,6.310210,7.584960,6
820,0.881833,6.312257,6.058042,6
830,0.882697,6.297264,5.263362,5
840,0.881411,6.254779,10.785343,2
850,0.881605,6.203027,6.066719,0
860,0.879796,6.141620,6.785515,2
