policy,rho,occupancy_mean,occupancy_std,occupancy_max,occupancy_p99,EN_mean,EW_mean,little_error_mean,little_error_max,utilization
OLDEST_PACKET,0.8,2959.8938657407407,273.7780131268507,3000.0,3000.0,24369.35337306713,0.0,24369.35337306713,46061.4499,1.0
OLDEST_PACKET,0.9,2968.404861111111,241.0551053489108,3000.0,3000.0,24484.825791759256,0.0,24484.825791759256,46365.4185,1.0
OLDEST_PACKET,0.95,2970.9502314814813,230.26027955797312,3000.0,3000.0,24449.24863060185,0.0,24449.24863060185,46205.5798,1.0
OLDEST_PACKET,0.999,2973.7815972222224,219.52963926494309,3000.0,3000.0,24264.270877314815,0.0,24264.270877314815,45833.697,1.0
ROUND_ROBIN,0.8,2961.522916666667,269.7878837067901,3000.0,3000.0,24484.9134956713,0.0,24484.9134956713,46244.7974,1.0
ROUND_ROBIN,0.9,2969.303587962963,238.00454079911438,3000.0,3000.0,24487.814483657407,0.0,24487.814483657407,46254.744,1.0
ROUND_ROBIN,0.95,2969.577083333333,237.55177737487452,3000.0,3000.0,24488.330482488425,0.0,24488.330482488425,46168.7738,1.0
ROUND_ROBIN,0.999,2974.281828703704,218.49407632673322,3000.0,3000.0,24428.05725375,0.0,24428.05725375,46086.5115,1.0
SALLES_UTILITY,0.8,1986.979050925926,144.95554767173297,2041.0,2024.0,22617.339319988427,0.0,22617.339319988427,44210.4891,1.0
SALLES_UTILITY,0.9,1996.9206018518519,130.1625140773725,2067.0,2050.0,22490.94768148148,0.0,22490.94768148148,43969.1185,1.0
SALLES_UTILITY,0.95,2005.200462962963,130.83679536518625,2114.0,2077.0,22604.542022696758,0.0,22604.542022696758,44260.7346,1.0
SALLES_UTILITY,0.999,2205.7101851851853,208.49629654356372,2475.0,2443.0,22284.945014710647,0.0,22284.945014710647,44443.5985,1.0
SHORTEST_QUEUE,0.8,1985.7174768518519,149.73180923324375,2041.0,2021.0,22623.79101106481,0.0,22623.79101106481,44334.5856,1.0
SHORTEST_QUEUE,0.9,1994.9472222222223,138.64303176633123,2091.0,2044.0,22513.305890208336,0.0,22513.305890208336,44154.089,1.0
SHORTEST_QUEUE,0.95,2004.9011574074075,130.15894260532,2112.0,2073.0,22589.952482951387,0.0,22589.952482951387,44121.75,1.0
SHORTEST_QUEUE,0.999,2102.560185185185,161.7567174528694,2347.0,2328.0,22291.213041284722,0.0,22291.213041284722,44058.2322,1.0
STRICT_PRIORITY,0.8,1984.248263888889,154.96632139890275,2035.0,2017.0,22847.964142141205,0.0,22847.964142141205,44603.3474,1.0
STRICT_PRIORITY,0.9,1995.254398148148,133.39708181531194,2081.0,2040.0,22537.91293025463,0.0,22537.91293025463,44207.8128,1.0
STRICT_PRIORITY,0.95,2004.2875,131.4210187991137,2092.0,2066.0,22462.53571380787,0.0,22462.53571380787,44112.802,1.0
STRICT_PRIORITY,0.999,2367.944675925926,252.15317369948835,2714.0,2674.0,21776.60129444444,0.0,21776.60129444444,43192.1883,1.0
WEIGHTED_ROUND_ROBIN,0.8,2960.771412037037,273.20527078307373,3000.0,3000.0,24177.021122962964,0.0,24177.021122962964,45839.8007,1.0
WEIGHTED_ROUND_ROBIN,0.9,2967.6886574074074,246.51296241767568,3000.0,3000.0,24458.148104884258,0.0,24458.148104884258,46178.6076,1.0
WEIGHTED_ROUND_ROBIN,0.95,2970.318865740741,235.67172065655814,3000.0,3000.0,24443.44097877315,0.0,24443.44097877315,46202.971,1.0
WEIGHTED_ROUND_ROBIN,0.999,2972.4586805555555,226.51492731993736,3000.0,3000.0,24306.791543587962,0.0,24306.791543587962,45954.7538,1.0
WHITTLE_INDEX,0.8,2959.4953703703704,280.00826923256676,3000.0,3000.0,24196.870740219907,0.0,24196.870740219907,45826.7135,1.0
WHITTLE_INDEX,0.9,2969.369675925926,239.39193024727973,3000.0,3000.0,24420.41901616898,0.0,24420.41901616898,46183.3557,1.0
WHITTLE_INDEX,0.95,2971.0207175925925,235.8675767260397,3000.0,3000.0,24430.624635624998,0.0,24430.624635624998,46265.7266,1.0
WHITTLE_INDEX,0.999,2970.58125,239.2922201729862,3000.0,3000.0,24575.10862228009,0.0,24575.10862228009,46378.9284,1.0
