Tempo(s),Fila,E[N],E[W]
10,0,0.000000,0.000000
20,0,0.000000,0.000000
30,1,0.079229,2.376874
40,0,0.092726,3.709057
50,1,0.101361,2.534016
60,2,0.337267,6.745343
70,0,0.409113,9.545960
80,0,0.357973,9.545960
90,0,0.318199,9.545960
100,0,0.289167,7.229175
110,2,0.341020,5.358888
120,3,0.542949,8.144241
130,4,0.796007,11.497880
140,4,1.058101,14.813408
150,5,1.314294,17.922197
160,5,1.544651,22.467651
170,7,1.843628,24.108984
180,8,2.135528,27.456795
190,8,2.444185,33.171081
200,8,2.718031,36.240419
210,7,2.953114,41.343592
220,7,3.105518,42.700874
230,7,3.274843,47.075874
240,8,3.432200,48.454591
250,9,3.647318,50.657197
260,10,3.885589,53.171216
270,11,4.122371,55.652015
280,12,4.380108,58.401437
290,12,4.627489,58.346596
300,11,4.842311,60.528887
310,8,4.990257,64.457483
320,10,5.136864,60.881346
330,8,5.274836,64.470219
340,8,5.345610,64.910977
350,6,5.402731,67.534135
360,5,5.409918,69.556082
370,6,5.413750,69.071983
380,4,5.405549,70.831329
390,5,5.360535,67.438987
400,6,5.366733,67.084159
410,6,5.358796,62.774471
420,7,5.396887,62.963687
430,8,5.455521,63.402004
440,8,5.513350,65.564167
450,8,5.580108,66.080230
460,6,5.592490,67.698560
470,6,5.601160,69.277507
480,6,5.609469,70.856454
490,7,5.635530,70.805377
500,7,5.662819,72.600249
510,7,5.676714,70.612778
520,5,5.683281,72.080637
530,4,5.667747,73.265996
540,4,5.636863,74.241606
550,3,5.594760,73.264712
560,1,5.522888,73.638501
570,1,5.443539,73.876596
580,0,5.352879,73.920716
590,2,5.278137,70.775025
600,1,5.212001,71.072746
610,2,5.158011,69.919704
620,0,5.101003,70.280487
630,1,5.032283,68.920403
640,1,4.969279,69.137795
650,3,4.928235,65.374546
660,1,4.894341,64.605305
670,4,4.860927,61.449450
680,3,4.844260,62.152764
690,2,4.813781,61.509430
700,2,4.765299,59.566232
710,3,4.730938,58.929226
720,2,4.701457,59.386821
730,2,4.657623,58.621807
740,4,4.623352,57.021343
750,5,4.623336,55.039713
760,7,4.639966,54.251904
770,8,4.673712,54.526643
780,7,4.713347,55.703198
790,5,4.725088,56.557869
800,4,4.719940,57.211388
810,3,4.705293,56.884890
820,4,4.694538,56.610607
830,6,4.699152,54.933744
840,6,4.711152,54.963446
850,8,4.730698,53.614579
860,11,4.787861,52.789235
870,9,4.850612,54.102984
880,8,4.892143,54.494758
890,8,4.933171,54.881531
900,8,4.962461,55.138452
910,8,5.001838,54.839431
920,9,5.042812,55.230796
930,10,5.085912,55.645857
940,10,5.138189,56.822328
950,9,5.182375,57.247167
960,9,5.217785,57.575555
970,8,5.248069,58.512952
980,6,5.268967,59.351584
990,5,5.274432,60.019395
1000,4,5.266590,59.847618
1010,4,5.256160,59.648561
1020,5,5.253516,59.539843
1030,4,5.247414,58.748227
1040,4,5.233619,58.526488
1050,6,5.237248,57.282396
1060,7,5.251468,57.387173
1070,6,5.263026,56.883214
1080,6,5.269850,57.489275
1090,3,5.263954,57.956668
1100,1,5.228329,57.511614
1110,0,5.185555,57.559662
1120,1,5.144547,57.048439
1130,0,5.099273,57.051276
1140,0,5.057502,56.525026
1150,0,5.013524,56.525026
1160,0,4.970304,56.525026
1170,0,4.927823,56.525026
1180,1,4.893644,55.524042
1190,3,4.866383,54.632039
1200,1,4.833701,54.209725
1210,0,4.797082,54.247371
1220,0,4.758044,53.748279
1230,1,4.720025,53.262669
1240,1,4.690903,52.879266
1250,1,4.666420,52.549776
1260,2,4.642588,52.229110
1270,2,4.622943,51.956970
1280,3,4.610153,51.763117
1290,3,4.597671,52.026275
1300,2,4.580331,52.231850
1310,2,4.560634,52.407289
1320,1,4.530203,51.550588
1330,4,4.508016,50.383707
1340,2,4.497755,49.809846
1350,3,4.481426,49.589547
1360,1,4.469978,49.424146
1370,1,4.449287,49.157447
1380,0,4.421027,49.201756
1390,0,4.389221,49.201756
1400,3,4.368856,48.160616
1410,3,4.359148,48.396837
