Tempo(s),Fila,E[N],E[W]
10,3,0.383524,1.278414
20,3,1.971204,9.856019
30,3,2.314136,17.356019
40,6,2.826297,16.150268
50,6,3.517461,17.587303
60,6,3.901774,21.282405
70,5,4.084326,25.991163
80,5,4.169621,27.797473
90,5,4.214084,27.090538
100,5,4.323929,28.826196
110,4,4.333455,31.778668
120,4,4.305667,34.445335
130,5,4.276236,32.700625
140,2,4.149169,34.169630
150,4,4.104607,30.784556
160,3,4.005473,30.517889
170,3,3.946328,31.946461
180,5,3.972664,29.794980
190,3,3.981593,31.520943
200,6,3.987588,29.537692
210,7,4.098699,30.740246
220,7,4.230577,33.240246
230,7,4.374355,34.693160
240,7,4.483757,37.106953
250,4,4.536756,39.109962
260,2,4.488225,40.239261
270,5,4.454113,36.442746
280,3,4.410438,37.421894
290,3,4.350987,36.051034
300,3,4.292801,34.806492
310,0,4.203108,35.215233
320,0,4.079338,34.352317
330,0,3.955721,34.352317
340,0,3.843672,32.671213
350,2,3.756541,30.576494
360,2,3.727404,29.819232
370,2,3.680717,30.263676
380,1,3.614620,29.859903
390,1,3.531563,29.304460
400,0,3.453496,29.391459
410,0,3.374085,28.820313
420,0,3.293750,28.820313
430,0,3.217963,28.239269
440,1,3.157955,27.790001
450,1,3.106669,27.411786
460,3,3.079028,26.228757
470,4,3.082048,26.337503
480,3,3.091057,26.976498
490,3,3.089199,27.521952
500,2,3.077869,27.980625
510,2,3.056734,28.344261
520,0,3.017126,28.525559
530,0,2.972772,28.135163
540,0,2.917721,28.135163
550,0,2.864671,28.135163
560,1,2.815285,27.658944
570,0,2.766248,27.662482
580,2,2.731370,26.850756
590,0,2.710281,26.651100
600,0,2.665110,26.651100
610,0,2.623615,26.236155
620,1,2.584934,25.849339
630,1,2.558324,25.583244
640,0,2.528685,25.688226
650,0,2.500316,25.393832
660,0,2.467851,25.058182
670,0,2.431018,25.058182
680,1,2.396437,24.690559
690,0,2.373706,24.445629
700,0,2.346389,23.803948
710,0,2.318259,23.513768
720,0,2.286061,23.513768
730,0,2.261771,23.254827
740,1,2.233314,22.953504
750,2,2.222662,22.835568
760,2,2.226178,22.863448
770,3,2.233981,22.935535
780,1,2.236943,23.264208
790,2,2.221957,23.096655
800,1,2.215934,23.325622
810,0,2.194127,23.384770
820,0,2.167369,23.384770
830,0,2.141256,23.384770
840,2,2.126178,22.897302
850,2,2.127157,22.601046
860,3,2.133624,22.653290
870,2,2.147237,22.781659
880,4,2.164963,22.680567
890,5,2.196196,22.728073
900,4,2.222531,22.991700
910,3,2.234222,23.369451
920,4,2.247847,23.500220
930,3,2.252643,23.277307
940,6,2.280022,23.045386
950,6,2.319180,23.690547
960,4,2.341913,24.174583
970,4,2.358501,24.337727
980,3,2.373186,24.741729
990,4,2.386643,24.871327
1000,4,2.402776,25.292380
1010,4,2.425483,25.255026
1020,5,2.449605,25.238359
1030,3,2.465120,25.647211
1040,2,2.467577,25.662804
1050,2,2.463124,25.862804
1060,3,2.467320,25.894650
1070,2,2.468401,26.150390
1080,4,2.471323,25.912897
1090,2,2.473932,26.180448
1100,4,2.484567,26.028796
1110,5,2.498999,25.924199
1120,4,2.516671,26.342722
1130,4,2.529798,26.716554
1140,7,2.557367,26.503617
1150,7,2.595998,27.139981
1160,7,2.634965,27.536576
1170,8,2.677827,27.973729
1180,7,2.718188,28.384622
1190,5,2.741523,28.870904
1200,3,2.748735,28.934052
1210,5,2.756837,28.756659
1220,7,2.780856,28.751227
1230,6,2.811462,28.817489
1240,5,2.832920,29.273508
1250,7,2.859602,28.826632
1260,6,2.885964,28.632396
1270,6,2.910484,29.104837
1280,6,2.933216,29.104778
1290,9,2.973457,29.058786
1300,9,3.020400,29.522708
1310,9,3.065540,29.969089
1320,9,3.110498,30.640731
1330,9,3.154780,31.312373
1340,11,3.198510,31.284696
1350,11,3.256299,32.087615
1360,13,3.320202,32.485425
1370,12,3.384092,33.115760
1380,11,3.439744,33.906045
1390,10,3.488840,34.639200
1400,8,3.524211,35.242110
1410,8,3.555954,35.813539
1420,9,3.592263,36.177403
1430,9,3.630080,36.815701
1440,8,3.665360,37.433468
1450,10,3.704186,37.299100
1460,10,3.747165,37.730074
1470,10,3.789701,38.419729
1480,10,3.828826,38.812756
1490,9,3.867082,39.465425
1500,9,3.898859,39.784276
1510,7,3.928394,40.352886
1520,4,3.940969,40.750154
1530,5,3.943803,40.226794
1540,4,3.943159,40.214997
1550,0,3.928883,40.329599
1560,1,3.908590,39.852289
1570,4,3.899893,39.248923
1580,4,3.900527,39.505334
1590,5,3.892957,38.686261
1600,6,3.902457,38.542789
1610,6,3.915486,38.913159
1620,9,3.934466,38.629306
1630,8,3.966974,38.952815
1640,7,3.989548,39.178791
1650,7,4.007793,39.597953
1660,7,4.029337,39.813691
1670,7,4.052429,40.044715
1680,10,4.073487,39.787545
1690,12,4.117344,39.761775
1700,13,4.168703,40.265880
1710,14,4.224437,40.583075
1720,14,4.286632,40.734845
1730,13,4.340192,41.030227
1740,14,4.390848,41.297706
1750,14,4.448943,41.858335
1760,15,4.508494,42.432885
1770,13,4.564542,43.204491
1780,12,4.611457,43.895150
1790,14,4.656055,44.097030
1800,13,4.705757,44.816738
1810,14,4.754660,45.294389
1820,14,4.805458,46.031231
1830,15,4.857620,46.299188
1840,15,4.912483,46.834036
1850,14,4.963960,47.581996
1860,15,5.017596,48.106851
1870,15,5.069621,48.616363
1880,14,5.121891,49.380278
1890,14,5.168865,50.098227
1900,15,5.215621,50.559594
1910,18,5.273607,50.616024
1920,18,5.339890,51.520546
1930,18,5.408938,52.196253
1940,20,5.482471,52.653437
1950,18,5.549833,53.575122
1960,14,5.602143,54.357428
1970,12,5.638758,54.720955
1980,11,5.669735,55.300859
1990,12,5.702099,55.352082
2000,10,5.732685,55.388265
2010,9,5.753455,55.866881
2020,9,5.769527,56.301663
2030,11,5.789625,56.234153
2040,8,5.802350,56.365689
2050,9,5.813683,56.483649
2060,9,5.829150,56.910189
2070,9,5.850139,56.853465
2080,8,5.867321,57.028169
2090,8,5.877525,57.402001
2100,6,5.885135,57.751320
2110,6,5.885447,57.759505
2120,8,5.893544,57.313367
2130,8,5.900347,57.386935
2140,7,5.907755,57.728747
2150,8,5.916633,57.821638
2160,8,5.928959,57.948194
2170,9,5.938672,58.049184
2180,10,5.955240,58.217144
