Tempo(s),Fila,E[N],E[W]
10,0,0.000000,0.000000
20,2,0.758239,7.582387
30,2,0.983287,7.374651
40,2,1.237465,12.374651
50,3,1.539887,12.832388
60,6,1.930376,12.869177
70,6,2.511751,19.535843
80,6,2.947782,26.202510
90,7,3.356811,30.211298
100,6,3.698156,36.981558
110,5,3.910780,39.107795
120,5,4.001548,43.653250
130,5,4.050914,40.509144
140,5,4.125222,41.252217
150,5,4.183540,44.823645
160,8,4.354518,40.983698
170,7,4.622202,43.654135
180,7,4.754302,47.543024
190,7,4.848318,48.483183
200,6,4.917538,51.763555
210,8,5.026404,50.264040
220,7,5.125621,53.696984
230,7,5.231680,54.694840
240,7,5.328740,53.287405
250,6,5.372374,55.962232
260,5,5.414665,56.312521
270,5,5.378332,55.851906
280,6,5.351778,51.672336
290,5,5.387386,52.078069
300,4,5.352572,53.525723
310,6,5.338867,51.720276
320,7,5.378357,52.153767
330,5,5.382936,53.829364
340,5,5.371674,55.344516
350,6,5.372602,55.306192
360,4,5.351234,55.041264
370,3,5.291640,55.940193
380,4,5.231075,53.724550
390,5,5.216193,53.534614
400,6,5.212190,50.850637
410,5,5.234163,51.095400
420,4,5.207671,52.076707
430,2,5.155691,52.784456
440,3,5.082257,50.822572
450,5,5.054792,49.449054
460,5,5.053601,50.536011
470,4,5.049583,51.593569
480,4,5.027717,52.463134
490,5,5.008534,52.216635
500,4,4.991420,53.100212
510,6,4.977771,51.809456
520,5,4.990503,52.960437
530,4,4.984588,52.836631
540,4,4.966355,53.636631
550,4,4.948785,54.436631
560,5,4.939240,54.234794
570,5,4.940306,55.215186
580,4,4.931104,56.079219
590,3,4.908782,56.787873
600,3,4.876969,57.376108
610,1,4.809256,56.416272
620,0,4.739225,55.439985
630,0,4.663999,55.439985
640,1,4.597887,53.502683
650,1,4.553203,52.849679
660,2,4.494114,51.139917
670,1,4.453656,50.575413
680,2,4.412099,50.003789
690,3,4.385356,48.804765
700,4,4.368838,47.784165
710,3,4.352100,48.281105
720,2,4.328674,48.697582
730,2,4.286787,48.143919
740,2,4.255885,48.451611
750,2,4.228844,48.055040
760,1,4.196411,48.322307
770,1,4.154899,48.473823
780,0,4.111876,48.594895
790,0,4.059827,48.594895
800,1,4.011099,47.189400
810,1,3.977999,46.698249
820,1,3.937985,46.130681
830,1,3.908792,45.694326
840,0,3.867075,45.751309
850,1,3.825350,45.160378
860,2,3.803105,44.803698
870,4,3.799063,43.489271
880,2,3.794611,43.937596
890,3,3.777543,43.662516
900,3,3.764331,42.884778
910,0,3.741909,43.103001
920,1,3.704331,42.599811
930,0,3.667115,42.630208
940,1,3.630634,41.619464
950,5,3.627049,40.066238
960,4,3.632019,40.543466
970,2,3.627932,40.919700
980,1,3.601689,41.042501
990,2,3.571781,39.731042
1000,3,3.565180,39.613112
1010,6,3.566133,38.728967
1020,6,3.589994,39.374128
1030,5,3.604773,39.923832
1040,5,3.618189,40.461466
1050,6,3.638346,40.213296
1060,7,3.664889,40.049300
1070,9,3.706347,40.058498
1080,11,3.765671,40.266580
1090,12,3.836642,40.999414
1100,12,3.910446,41.762049
1110,13,3.985828,42.541047
1120,13,4.058389,43.289481
1130,14,4.145766,44.195429
1140,15,4.239821,45.171923
1150,17,4.335821,45.744901
1160,17,4.444995,47.304534
1170,17,4.552303,48.864167
1180,16,4.655745,50.401647
1190,17,4.750992,50.934053
1200,19,4.856449,51.120512
1210,16,4.957886,52.623175
1220,16,5.050209,53.576128
1230,15,5.137150,54.945167
1240,15,5.216689,56.249514
1250,17,5.298215,56.604861
1260,17,5.392219,57.577936
1270,18,5.490044,58.591223
1280,16,5.583790,60.060937
1290,14,5.660176,61.358215
1300,18,5.739828,59.694210
1310,17,5.831834,61.117625
1320,17,5.917697,61.994923
1330,16,5.999450,63.327527
1340,18,6.079544,63.645224
