policy,rho,metric,trend_slope,trend_r_squared,trend_p_value,mean_value,std_value,autocorr_lag1
OLDEST_PACKET,0.8,system_en,5.069008897736522,0.9993036612653152,0.0,24369.353373067133,12648.020622511298,0.9999999723719849
OLDEST_PACKET,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
OLDEST_PACKET,0.8,little_error,5.069008897736522,0.9993036612653152,0.0,24369.353373067133,12648.020622511298,0.9999999723719849
OLDEST_PACKET,0.9,system_en,5.0971558653933045,0.9995095077047906,0.0,24484.82579175926,12716.942276882935,0.9999999716989101
OLDEST_PACKET,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
OLDEST_PACKET,0.9,little_error,5.0971558653933045,0.9995095077047906,0.0,24484.82579175926,12716.942276882935,0.9999999716989101
OLDEST_PACKET,0.95,system_en,5.069823011010233,0.9995011996498339,0.0,24449.24863060185,12648.801849872369,0.9999999708200107
OLDEST_PACKET,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
OLDEST_PACKET,0.95,little_error,5.069823011010233,0.9995011996498339,0.0,24449.24863060185,12648.801849872369,0.9999999708200107
OLDEST_PACKET,0.999,system_en,5.018967346790915,0.999514298316693,0.0,24264.27087731482,12521.83899553942,0.9999999684616862
OLDEST_PACKET,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
OLDEST_PACKET,0.999,little_error,5.018967346790915,0.999514298316693,0.0,24264.27087731482,12521.83899553942,0.9999999684616862
ROUND_ROBIN,0.8,system_en,5.092818959319165,0.9993103058646411,0.0,24484.913495671295,12707.388440769979,0.999999982898936
ROUND_ROBIN,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
ROUND_ROBIN,0.8,little_error,5.092818959319165,0.9993103058646411,0.0,24484.913495671295,12707.388440769979,0.999999982898936
ROUND_ROBIN,0.9,system_en,5.084663414894821,0.9994357699921798,0.0,24487.814483657407,12686.24270964698,0.9999999825463702
ROUND_ROBIN,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
ROUND_ROBIN,0.9,little_error,5.084663414894821,0.9994357699921798,0.0,24487.814483657407,12686.24270964698,0.9999999825463702
ROUND_ROBIN,0.95,system_en,5.068021092160994,0.999378097366349,0.0,24488.330482488425,12645.084938657945,0.999999981702945
