Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
10,0.475478,0.483267,1.329377,1
20,0.591174,0.534331,0.540349,2
30,0.647258,2.105084,2.096575,5
40,0.690920,2.257683,3.705311,5
50,0.756588,2.699609,2.148526,2
60,0.794141,3.139991,0.364302,3
70,0.792565,2.942648,3.103364,1
80,0.823753,2.978739,1.856989,6
90,0.821046,3.639959,4.048064,13
100,0.843382,4.052466,-1.122331,4
110,0.853209,4.196663,3.738084,6
120,0.874312,4.228177,1.685749,3
130,0.893120,4.185539,3.208910,3
140,0.924937,4.115681,4.314444,3
150,0.890592,4.184469,4.084020,10
160,0.902303,4.593485,2.901439,10
170,0.901749,4.845050,5.938262,11
180,0.905289,5.058297,4.089676,4
190,0.891537,4.903844,4.920484,0
200,0.861574,4.671143,4.844141,1
210,0.865795,4.529981,4.680064,4
220,0.865577,4.417604,4.534308,2
230,0.856696,4.275422,4.220513,0
240,0.852081,4.132148,4.249030,1
250,0.845856,4.014578,5.145925,1
260,0.838513,3.890525,4.383478,2
270,0.849162,3.898424,7.005418,5
280,0.860647,3.954810,5.177088,1
290,0.852565,3.877460,5.405040,2
300,0.842433,3.784903,2.666729,0
310,0.839845,3.711800,4.950170,2
320,0.839267,3.650863,8.471839,6
330,0.842393,3.683154,3.769320,1
340,0.832933,3.592163,3.314785,0
350,0.843348,3.595653,2.230579,1
360,0.844762,3.660044,4.430271,10
370,0.849036,3.810335,4.177052,8
380,0.849534,3.987412,5.519423,12
390,0.857620,4.040546,5.710749,8
400,0.858058,4.208280,3.514414,9
410,0.860597,4.373727,3.418363,11
420,0.865243,4.470486,4.436985,10
430,0.861559,4.467828,1.499178,0
440,0.854215,4.387618,4.584562,0
450,0.852799,4.320269,3.075737,0
460,0.848884,4.241995,7.676568,3
470,0.848052,4.190362,4.484002,0
480,0.845361,4.115758,5.344333,4
490,0.844382,4.103966,1.483286,0
500,0.838556,4.030993,5.113338,1
510,0.843109,3.971397,4.716440,2
520,0.842621,3.938873,5.417617,7
530,0.844159,3.992959,3.896008,7
540,0.847647,4.040489,2.286314,8
550,0.847896,4.042433,5.071104,1
560,0.847967,4.001018,3.931234,2
570,0.843250,3.944625,3.223383,0
580,0.853535,3.926523,4.307736,4
590,0.847543,3.960262,0.414855,3
600,0.850725,3.914758,5.203772,2
610,0.851345,3.947296,3.763458,8
620,0.855608,3.981618,4.765781,5
630,0.855396,3.999350,4.462090,1
640,0.848315,3.950040,4.245835,0
650,0.839540,3.893813,3.525939,0
660,0.841015,3.874906,4.403743,6
670,0.841824,3.934640,4.791766,13
680,0.846852,4.109160,4.345177,16
690,0.847847,4.279934,4.672229,17
700,0.849302,4.466605,5.853205,18
710,0.851681,4.585335,6.327661,8
720,0.852989,4.589895,3.598618,3
730,0.856017,4.569970,5.247197,2
740,0.853521,4.539260,3.895873,0
750,0.854590,4.545535,4.847040,8
760,0.856555,4.607117,8.809747,15
770,0.858959,4.710235,5.273912,8
780,0.862118,4.752244,5.113163,7
790,0.862264,4.806068,4.128612,11
800,0.865032,4.850933,3.343261,9
810,0.865420,4.976280,6.408576,16
820,0.868136,5.100111,6.737096,18
830,0.869280,5.311793,7.045652,27
840,0.870872,5.578116,5.219438,25
850,0.873223,5.789399,6.404541,24
860,0.874645,6.027757,8.736122,26
870,0.875065,6.272334,6.794453,28
880,0.876470,6.513938,8.250516,33
890,0.878086,6.873920,5.704867,37
900,0.881708,7.184689,7.265962,29
910,0.880533,7.457830,9.310942,36
920,0.882909,7.711965,8.015348,32
930,0.884242,7.953343,7.881058,32
940,0.885231,8.256054,7.674848,36
950,0.885524,8.527304,9.562424,35
960,0.887171,8.771058,8.490117,36
970,0.888416,9.074672,7.245602,30
980,0.888865,9.281765,10.490642,30
990,0.892892,9.457871,8.164016,27
1000,0.892762,9.653501,6.954253,26
