Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
10,0.308010,0.308010,-0.579029,0
20,0.294387,0.344263,0.228769,0
30,0.371701,0.468267,-0.469653,1
40,0.533010,1.230435,1.413351,7
50,0.617698,2.108511,0.484766,4
60,0.695133,2.666524,3.504867,8
70,0.724643,3.630831,2.669439,10
80,0.760929,4.358586,2.125939,9
90,0.786228,5.106648,4.665597,10
100,0.804947,5.254602,7.843078,8
110,0.835285,5.548644,5.071632,6
120,0.848411,5.523186,5.830914,4
130,0.853218,5.377011,1.342519,1
140,0.866444,5.246877,6.860965,6
150,0.867646,5.200945,3.361851,0
160,0.834251,4.896125,6.671227,1
170,0.816918,4.665884,4.307018,0
180,0.827896,4.644438,3.349011,4
190,0.850976,4.671346,5.756334,3
200,0.850468,4.914278,4.808506,11
210,0.866277,5.406668,7.883716,21
220,0.859488,6.244042,6.726279,23
230,0.864968,6.825154,6.471868,16
240,0.869986,7.264943,5.887507,16
250,0.877624,7.509181,7.490464,11
260,0.889215,7.500469,9.031983,4
270,0.888913,7.387686,9.146836,9
280,0.890445,7.395502,8.637443,7
290,0.896117,7.236370,8.082736,1
300,0.888702,7.064105,9.093254,4
310,0.900023,6.959911,11.289554,6
320,0.895833,6.965514,8.855441,8
330,0.910045,7.016353,7.366841,6
340,0.903841,7.051210,8.133708,11
350,0.907098,7.223225,8.562746,11
360,0.905423,7.336032,9.611118,14
370,0.917029,7.397933,5.417090,6
380,0.910798,7.393029,7.547754,4
390,0.907028,7.246050,6.741893,2
400,0.904122,7.091142,8.146033,1
410,0.893119,6.938518,6.285528,0
420,0.888948,6.798168,7.999892,4
430,0.889223,6.732252,7.047034,0
440,0.893490,6.670585,7.808638,9
450,0.893313,6.850275,5.918730,15
460,0.895488,7.072263,5.755482,16
470,0.903000,7.312871,8.109224,19
480,0.902702,7.538522,7.937743,19
490,0.906808,7.725258,8.211060,14
500,0.909046,7.929636,11.131375,19
510,0.904791,8.289011,9.992399,27
520,0.907304,8.603989,11.720210,27
530,0.909406,8.821617,6.765739,10
540,0.911099,8.823933,10.969184,12
550,0.912604,8.860496,7.866385,12
560,0.916484,8.945740,8.977241,9
570,0.914732,8.971884,8.687079,7
580,0.917317,8.919036,10.007953,7
590,0.919755,8.880786,9.513671,10
600,0.920120,8.865000,14.989370,10
610,0.922311,8.854172,12.056181,9
620,0.924610,8.846025,9.698227,7
630,0.924216,8.847222,8.409425,6
640,0.925549,8.769154,10.010294,1
650,0.923328,8.673936,14.189726,7
660,0.926240,8.634442,8.168160,7
670,0.926703,8.603567,12.293844,9
680,0.928385,8.608629,10.011622,10
690,0.927667,8.611974,8.995960,6
700,0.929228,8.598075,10.181004,9
710,0.935623,8.609872,11.911732,11
720,0.931237,8.685052,9.262562,17
730,0.935030,8.771750,9.618089,15
740,0.934677,8.840860,9.359338,15
750,0.933442,8.928160,10.552467,12
760,0.938273,8.923974,8.921613,8
770,0.935569,8.937455,10.399444,13
780,0.936097,8.957833,9.932247,8
790,0.939733,8.923936,10.329409,5
800,0.937737,8.913165,10.808506,9
810,0.939950,8.873573,11.810577,11
820,0.940523,8.929443,9.741976,9
830,0.940696,8.914835,9.368387,6
840,0.940901,8.870014,8.479348,7
850,0.941483,8.899577,9.707031,15
860,0.942760,8.960174,9.371770,15
870,0.944920,9.061618,10.154841,19
880,0.943592,9.167905,8.724612,19
890,0.945454,9.278586,9.989111,21
900,0.945064,9.407639,8.807268,18
910,0.946933,9.476316,9.588401,16
920,0.945882,9.557082,9.404488,15
930,0.946998,9.595321,13.883144,17
940,0.946897,9.653443,10.332745,19
950,0.947841,9.760915,9.955701,12
960,0.948333,9.740705,10.303307,3
970,0.946007,9.651664,11.287717,1
980,0.939938,9.559048,10.316727,0
990,0.937676,9.471650,10.104305,2
1000,0.937244,9.395074,12.037350,2
1010,0.930470,9.308479,9.575661,0
1020,0.929422,9.247436,9.683363,0
1030,0.926197,9.164851,10.474452,4
1040,0.926130,9.162131,18.377903,15
1050,0.927869,9.174520,9.506159,8
1060,0.928782,9.159151,10.240460,6
1070,0.927426,9.118163,11.821855,1
1080,0.927381,9.053741,10.095136,4
1090,0.922194,8.986541,9.848604,0
1100,0.918470,8.912357,10.067673,4
1110,0.914996,8.841869,10.423143,1
1120,0.913082,8.775908,8.401212,3
1130,0.913404,8.730863,13.189337,7
1140,0.914091,8.776124,9.030677,17
1150,0.915400,8.816712,9.596772,13
1160,0.916236,8.824920,9.172162,9
1170,0.916299,8.851140,9.605530,12
1180,0.916953,8.876666,10.335017,15
