Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
1630,0.823662,4.487708,7.158632,6
1640,0.823534,4.476017,5.873047,3
1650,0.822900,4.476033,5.302731,3
1660,0.824034,4.465216,0.471983,1
1670,0.820743,4.440469,7.081817,3
1680,0.818761,4.419054,5.278707,0
1690,0.820225,4.404675,5.880420,1
1700,0.821803,4.405546,4.244155,4
1710,0.822274,4.411166,6.141770,9
1720,0.824231,4.450476,5.577414,14
1730,0.823674,4.502992,5.980255,16
1740,0.824702,4.576183,6.254308,19
1750,0.826600,4.638553,6.413071,14
1760,0.826844,4.677842,3.708542,9
1770,0.827919,4.694382,4.346239,4
1780,0.828909,4.688603,5.089317,4
1790,0.829621,4.684343,4.497619,3
1800,0.830438,4.687469,5.181148,5
1810,0.832414,4.681648,5.132692,4
1820,0.831117,4.672022,5.746342,1
1830,0.830382,4.655765,6.274646,5
1840,0.832570,4.659468,6.624701,6
1850,0.832962,4.659216,5.818710,1
1860,0.831829,4.653452,4.096767,0
1870,0.831454,4.638260,5.052864,0
1880,0.831974,4.622679,5.325892,5
1890,0.830944,4.613018,3.926666,0
1900,0.828872,4.592462,5.471069,0
1910,0.829656,4.572762,6.980994,2
1920,0.829746,4.558328,7.221053,3
1930,0.829766,4.546035,5.471584,0
1940,0.829746,4.531849,4.446917,1
1950,0.829113,4.514638,4.055251,0
1960,0.827675,4.494880,6.996716,2
1970,0.825052,4.474323,4.651655,0
1980,0.822744,4.453957,5.084023,0
1990,0.822389,4.437062,5.983978,3
2000,0.819418,4.416988,5.360124,0
2010,0.820022,4.402467,3.394555,1
2020,0.818908,4.386561,5.222232,0
2030,0.819515,4.367527,5.053412,1
2040,0.819404,4.363149,10.502489,4
2050,0.819574,4.362283,5.403385,6
2060,0.820242,4.368991,5.514740,9
2070,0.821106,4.369423,5.128074,4
2080,0.821956,4.370491,4.307722,5
2090,0.822003,4.362871,3.575657,0
2100,0.821956,4.350721,5.305344,2
2110,0.822259,4.335900,5.666395,3
2120,0.821209,4.331109,4.246508,0
2130,0.819567,4.314387,4.595738,0
2140,0.819406,4.299730,4.497744,3
2150,0.819719,4.292472,3.003849,0
2160,0.818366,4.278175,5.096525,0
2170,0.816377,4.260757,4.408487,1
2180,0.815030,4.243465,6.359229,1
2190,0.812628,4.226111,5.016449,0
2200,0.813231,4.212460,4.939559,1
2210,0.811520,4.197004,4.458151,0
2220,0.812033,4.191153,6.994694,5
2230,0.811818,4.180704,4.244543,0
2240,0.811302,4.166644,5.088111,0
2250,0.811310,4.155936,5.584383,2
2260,0.812253,4.147630,5.277701,2
2270,0.811281,4.135853,5.930801,2
2280,0.808993,4.119913,4.446646,0
2290,0.809801,4.108190,3.747474,2
2300,0.809554,4.109816,5.259512,10
2310,0.809991,4.114534,4.701591,0
2320,0.808631,4.100444,6.695949,3
2330,0.811539,4.097337,6.077904,5
2340,0.810335,4.108039,3.459565,8
2350,0.811231,4.110922,5.858657,4
2360,0.812897,4.112052,3.407562,4
2370,0.812727,4.118374,3.842018,5
2380,0.813010,4.123264,4.726221,0
2390,0.811676,4.110969,5.985262,5
2400,0.812548,4.117029,5.312525,7
2410,0.813479,4.124948,6.305664,7
2420,0.814685,4.145192,5.068018,12
2430,0.814978,4.171044,3.604770,8
2440,0.816420,4.195606,3.820814,10
2450,0.816420,4.213001,2.047549,6
2460,0.817172,4.231280,5.069292,8
2470,0.817247,4.233398,4.400469,0
2480,0.816314,4.219205,6.210711,1
2490,0.817692,4.206892,5.569209,1
2500,0.817193,4.204348,5.465447,4
2510,0.815142,4.190352,5.061551,0
2520,0.814699,4.179615,4.811982,0
2530,0.813547,4.166302,8.542633,5
2540,0.815463,4.167517,4.892524,3
2550,0.814822,4.162075,6.940993,3
2560,0.816016,4.159988,5.182343,3
2570,0.816512,4.160379,4.789702,4
2580,0.816623,4.154113,1.923681,0
2590,0.814585,4.138858,8.192228,3
2600,0.815541,4.142219,7.060344,8
2610,0.817171,4.159859,-0.032009,6
2620,0.816974,4.163467,4.511133,4
2630,0.815994,4.151970,4.321298,0
2640,0.814446,4.137997,5.029587,1
2650,0.814676,4.131799,7.021069,8
2660,0.815024,4.145315,5.651741,5
2670,0.815680,4.149942,5.093381,6
2680,0.817221,4.154275,4.312950,3
2690,0.817149,4.154933,3.642958,4
2700,0.817757,4.150704,4.036799,2
2710,0.818766,4.149613,9.360950,6
2720,0.819964,4.144688,6.149588,3
2730,0.819304,4.138732,4.992267,0
2740,0.819073,4.128876,4.432269,0
2750,0.818726,4.117393,4.751716,1
2760,0.817852,4.103301,10.456524,2
2770,0.818263,4.102415,7.232049,7
2780,0.819452,4.105570,5.370484,8
2790,0.819750,4.110345,5.052847,1
2800,0.817576,4.096145,4.815462,1
2810,0.819204,4.096936,5.854542,10
2820,0.818746,4.115326,4.418775,8
2830,0.819459,4.127650,6.560246,8
2840,0.819745,4.149541,4.021456,10
2850,0.820360,4.170301,6.108445,10
2860,0.821056,4.177067,0.477212,2
2870,0.820477,4.168719,3.435639,2
2880,0.820477,4.158187,4.968307,0
2890,0.820606,4.148885,5.675761,3
2900,0.820441,4.139528,4.524011,3
2910,0.820958,4.141863,4.179556,7
2920,0.821368,4.143442,5.332634,4
2930,0.821629,4.135614,7.532594,2
2940,0.821454,4.125767,7.436071,2
2950,0.820181,4.114446,5.105138,0
2960,0.819479,4.102170,5.152992,1
2970,0.819711,4.094205,5.952800,4
2980,0.820323,4.090231,5.864461,2
2990,0.820223,4.083570,5.984007,6
3000,0.821191,4.081200,5.689583,4
3010,0.821153,4.080794,6.184947,4
3020,0.820797,4.075192,5.164986,3
3030,0.820382,4.066197,4.692008,0
3040,0.819412,4.054779,7.552820,4
3050,0.819905,4.063460,4.617646,7
3060,0.820510,4.064737,5.049793,4
3070,0.821282,4.071996,6.423476,4
3080,0.821638,4.079086,3.594855,6
3090,0.822392,4.088374,5.930887,7
3100,0.823429,4.101166,5.297151,9
3110,0.823392,4.114767,6.227209,7
3120,0.823589,4.111359,4.986164,4
3130,0.824792,4.105107,5.475640,2
3140,0.824936,4.107255,4.705932,4
3150,0.825500,4.107313,5.971082,7
3160,0.825402,4.106760,3.808732,0
3170,0.825986,4.105755,6.798717,9
3180,0.826488,4.114285,3.479239,2
3190,0.826715,4.110661,3.068729,3
3200,0.827101,4.106315,7.273651,3
3210,0.826074,4.096401,3.817391,0
3220,0.824149,4.084319,4.655203,0
3230,0.824228,4.078787,3.771690,4
3240,0.823801,4.072259,5.396416,1
3250,0.823167,4.062138,5.573980,1
3260,0.823739,4.057755,4.802716,4
3270,0.823990,4.055829,4.799973,2
3280,0.823853,4.047450,3.415269,1
3290,0.822674,4.037859,4.331323,0
3300,0.821839,4.028770,2.691002,1
3310,0.822195,4.022628,6.732760,4
3320,0.821491,4.014399,3.265502,0
3330,0.820359,4.004187,5.139048,1
3340,0.819529,3.994558,2.382007,0
3350,0.818711,3.984419,4.249764,1
3360,0.819504,3.979634,5.143760,2
3370,0.818595,3.973479,4.979323,5
3380,0.819176,3.971776,7.138623,7
3390,0.819641,3.970111,4.225708,1
3400,0.819704,3.962302,5.126173,1
3410,0.819943,3.958628,5.046718,5
3420,0.820443,3.963041,4.686773,4
3430,0.821221,3.964795,4.424426,4
3440,0.821432,3.963006,1.023036,2
3450,0.821941,3.963256,4.232071,5
3460,0.822713,3.962777,5.183447,6
3470,0.823063,3.975377,5.184348,9
3480,0.823521,3.986235,1.448257,1
3490,0.823208,3.978024,4.404663,2
3500,0.821999,3.969086,4.088233,0
