timestamp,sample_idx,system_occupancy,avg_wait_error,q0_len,q1_len,q2_len,server_busy,little_error
10.0000,1,13.3471,0.0000,10,10,9,1,4.6520
20.0000,2,27.2335,0.0000,15,18,19,1,7.8721
30.0000,3,39.1979,0.0000,23,25,25,1,11.6189
40.0000,4,51.6084,0.0000,32,38,36,1,13.5143
50.0000,5,63.7952,0.0000,39,40,42,1,17.4610
60.0000,6,75.3176,0.0000,46,47,49,1,19.6857
70.0000,7,86.2063,0.0000,52,53,54,1,22.4375
80.0000,8,96.0333,0.0000,56,56,56,1,24.8772
90.0000,9,105.4674,0.0000,65,64,65,1,25.5429
100.0000,10,115.2004,0.0000,72,72,72,1,28.2644
110.0000,11,125.2687,0.0000,76,78,76,1,30.3256
120.0000,12,135.0458,0.0000,83,83,84,1,32.3928
130.0000,13,144.8824,0.0000,94,92,90,1,35.2735
140.0000,14,155.2810,0.0000,99,100,103,1,38.1663
150.0000,15,165.7253,0.0000,107,107,109,1,40.5577
160.0000,16,176.0414,0.0000,115,112,115,1,42.0882
170.0000,17,186.6261,0.0000,122,121,126,1,46.4995
180.0000,18,197.5712,0.0000,133,130,133,1,50.9026
190.0000,19,208.4395,0.0000,137,136,139,1,55.1952
200.0000,20,219.1348,0.0000,146,144,144,1,58.7008
210.0000,21,229.5453,0.0000,147,150,151,1,62.8849
220.0000,22,240.1146,0.0000,158,160,155,1,64.7119
230.0000,23,250.5437,0.0000,163,165,165,1,66.6150
240.0000,24,261.2742,0.0000,173,173,175,1,70.8618
250.0000,25,272.0800,0.0000,178,181,180,1,72.8074
260.0000,26,282.8365,0.0000,187,187,189,1,75.5082
270.0000,27,293.5534,0.0000,196,193,193,1,78.2206
280.0000,28,304.0566,0.0000,202,196,198,1,82.3525
290.0000,29,314.1481,0.0000,199,200,200,1,85.5207
300.0000,30,323.8401,0.0000,202,202,203,1,85.4434
310.0000,31,333.2381,0.0000,207,210,208,1,86.1740
320.0000,32,342.6749,0.0000,211,221,216,1,90.1666
330.0000,33,352.1481,0.0000,220,223,223,1,87.2144
340.0000,34,361.6942,0.0000,229,227,230,1,88.3038
350.0000,35,371.2180,0.0000,234,235,237,1,91.6279
360.0000,36,380.8546,0.0000,242,244,243,1,91.2747
370.0000,37,390.6679,0.0000,256,254,249,1,94.0280
380.0000,38,400.6355,0.0000,259,261,262,1,95.3660
390.0000,39,410.7531,0.0000,267,266,270,1,95.2996
400.0000,40,420.7122,0.0000,273,272,274,1,96.6867
410.0000,41,430.6067,0.0000,282,281,276,1,100.2995
420.0000,42,440.6379,0.0000,286,287,286,1,103.2320
430.0000,43,450.6528,0.0000,295,293,295,1,103.9216
440.0000,44,460.9027,0.0000,303,304,304,1,107.6286
450.0000,45,471.0298,0.0000,306,306,308,1,110.5382
460.0000,46,480.8683,0.0000,312,312,308,1,110.4300
470.0000,47,490.5748,0.0000,317,315,314,1,113.2731
480.0000,48,500.1907,0.0000,321,321,323,1,116.7807
490.0000,49,509.9297,0.0000,329,330,330,1,120.3003
500.0000,50,519.7112,0.0000,337,335,337,1,120.1692
510.0000,51,529.4510,0.0000,345,342,342,1,122.9987
520.0000,52,539.1851,0.0000,348,347,347,1,127.2561
530.0000,53,548.8452,0.0000,355,351,354,1,127.0272
540.0000,54,558.5294,0.0000,359,359,360,1,130.5305
550.0000,55,568.2464,0.0000,367,368,368,1,131.8597
560.0000,56,577.9907,0.0000,376,375,377,1,131.0759
570.0000,57,587.9146,0.0000,384,384,385,1,134.0232
580.0000,58,597.7138,0.0000,387,387,387,1,136.1931
590.0000,59,607.2576,0.0000,386,387,388,1,136.1770
600.0000,60,616.7192,0.0000,394,393,394,1,134.7626
610.0000,61,626.2412,0.0000,406,403,403,1,138.3787
620.0000,62,635.9680,0.0000,412,415,413,1,138.7289
630.0000,63,645.6429,0.0000,422,417,420,1,141.6413
640.0000,64,655.3436,0.0000,424,425,424,1,145.3120
650.0000,65,665.0186,0.0000,430,434,433,1,145.4863
660.0000,66,674.7702,0.0000,440,439,439,1,148.5131
670.0000,67,684.4906,0.0000,442,444,443,1,150.1247
680.0000,68,694.1956,0.0000,451,454,451,1,153.1303
690.0000,69,703.9034,0.0000,455,458,458,1,155.6398
700.0000,70,713.5805,0.0000,466,465,465,1,157.3358
710.0000,71,723.3219,0.0000,470,472,471,1,159.6754
720.0000,72,732.9820,0.0000,476,477,477,1,161.3403
730.0000,73,742.7730,0.0000,486,491,488,1,163.7366
740.0000,74,752.7800,0.0000,499,500,499,1,167.5250
750.0000,75,762.9201,0.0000,510,510,510,1,171.3392
760.0000,76,773.1539,0.0000,516,518,514,1,175.8170
770.0000,77,783.3216,0.0000,522,521,522,1,180.2579
780.0000,78,793.5059,0.0000,529,530,528,1,183.9919
790.0000,79,803.6199,0.0000,533,535,535,1,188.3775
800.0000,80,813.6545,0.0000,536,538,538,1,191.3274
810.0000,81,823.7126,0.0000,547,546,549,1,189.4404
820.0000,82,833.8385,0.0000,556,554,558,1,193.1711
830.0000,83,843.9990,0.0000,559,560,561,1,194.8231
840.0000,84,854.0883,0.0000,570,567,567,1,195.7511
850.0000,85,864.1894,0.0000,573,574,574,1,196.6933
860.0000,86,874.2797,0.0000,582,581,587,1,196.9830
870.0000,87,884.5498,0.0000,593,592,594,1,197.4273
880.0000,88,894.8872,0.0000,602,604,602,1,198.6173
890.0000,89,905.2592,0.0000,607,611,609,1,200.5224
900.0000,90,915.6913,0.0000,621,620,619,1,205.1225
910.0000,91,926.1740,0.0000,626,626,627,1,207.6923
920.0000,92,936.5653,0.0000,628,629,630,1,209.5745
930.0000,93,946.8777,0.0000,633,634,634,1,210.7829
940.0000,94,957.1432,0.0000,642,639,643,1,213.9804
950.0000,95,967.4492,0.0000,654,646,654,1,217.2082
960.0000,96,977.8068,0.0000,658,653,660,1,219.1160
970.0000,97,988.2026,0.0000,666,663,667,1,221.3983
980.0000,98,998.6488,0.0000,679,677,673,1,224.6499
990.0000,99,1009.1450,0.0000,683,683,686,1,226.9140
1000.0000,100,1019.6499,0.0000,687,690,690,1,229.1812
1010.0000,101,1030.1537,0.0000,697,697,697,1,232.4508
1020.0000,102,1040.5732,0.0000,698,698,699,1,234.3392
1030.0000,103,1050.9241,0.0000,703,707,707,1,235.5768
1040.0000,104,1061.3018,0.0000,707,718,718,1,238.8436
1050.0000,105,1071.7787,0.0000,723,725,725,1,240.7907
1060.0000,106,1082.2913,0.0000,731,733,733,1,242.0660
1070.0000,107,1092.8372,0.0000,741,740,741,1,246.0226
1080.0000,108,1103.4289,0.0000,750,749,749,1,249.9799
1090.0000,109,1114.0243,0.0000,755,755,756,1,252.2580
1100.0000,110,1124.6190,0.0000,760,762,763,1,256.8525
1110.0000,111,1135.2070,0.0000,765,771,774,1,261.4101
1120.0000,112,1145.8221,0.0000,775,779,781,1,265.9518
1130.0000,113,1156.4027,0.0000,783,783,785,1,268.5030
1140.0000,114,1166.9335,0.0000,788,789,787,1,271.7095
1150.0000,115,1177.4222,0.0000,792,795,796,1,274.8930
1160.0000,116,1187.9213,0.0000,801,803,801,1,277.4043
1170.0000,117,1198.4656,0.0000,811,812,815,1,280.5960
1180.0000,118,1209.0696,0.0000,821,821,820,1,284.4665
1190.0000,119,1219.6634,0.0000,827,826,826,1,286.3230
1200.0000,120,1230.1983,0.0000,829,833,835,1,287.5186
1210.0000,121,1240.7549,0.0000,844,842,841,1,290.0554
1220.0000,122,1251.4559,0.0000,852,854,852,1,290.0024
1230.0000,123,1262.1639,0.0000,860,860,860,1,290.6328
1240.0000,124,1272.8259,0.0000,861,865,863,1,290.6055
1250.0000,125,1283.3999,0.0000,872,871,870,1,294.5325
1260.0000,126,1293.9654,0.0000,872,874,876,1,294.5049
1270.0000,127,1304.5296,0.0000,880,882,881,1,297.7755
1280.0000,128,1315.0732,0.0000,890,889,887,1,296.9093
1290.0000,129,1325.6264,0.0000,896,894,899,1,300.1781
1300.0000,130,1336.1838,0.0000,904,904,903,1,301.4276
1310.0000,131,1346.7095,0.0000,905,907,907,1,302.6790
1320.0000,132,1357.2058,0.0000,913,912,914,1,303.9230
1330.0000,133,1367.7314,0.0000,923,929,925,1,307.8773
1340.0000,134,1378.3447,0.0000,935,933,933,1,310.5600
1350.0000,135,1388.9120,0.0000,937,940,938,1,312.4466
1360.0000,136,1399.4313,0.0000,941,943,942,1,316.3855
1370.0000,137,1409.8561,0.0000,943,943,943,1,319.6009
1380.0000,138,1420.2011,0.0000,946,950,949,1,322.1081
1390.0000,139,1430.5158,0.0000,952,958,959,1,326.6348
